2025-11-19 09:30:02,150 | film_recommender_cg.scorer | INFO | 'Undisclosed' rmse = Insufficient Data
2025-11-19 09:30:02,153 | film_recommender_cg.scorer | INFO | 'Undisclosed' r-squared = Insufficient Data
2025-11-19 09:30:02,170 | film_recommender_cg.scorer | INFO | 'Fantasy' rmse = 0.542
2025-11-19 09:30:02,179 | film_recommender_cg.scorer | INFO | 'Fantasy' r-squared = 0.262
2025-11-19 09:30:02,194 | film_recommender_cg.scorer | INFO | 'Family' rmse = 0.543
2025-11-19 09:30:02,196 | film_recommender_cg.scorer | INFO | 'Family' r-squared = 0.218
2025-11-19 09:30:03,906 | film_recommender_cg.scorer | INFO | 'scoring_performance_metrics_all_users' successfully logged as artifact in W&B.
2025-11-19 09:30:03,910 | film_recommender_cg.scorer | INFO | Evaluation complete!
2025-11-19 09:30:03,918 | film_recommender_cg.scorer | INFO | Evaluating model performance on new (simulated) data...
2025-11-19 09:30:03,934 | film_recommender_cg.scorer | INFO | ### Following recent batch of simulated interactions, current model performance metrics ('New' users): ###
2025-11-19 09:30:03,939 | film_recommender_cg.scorer | INFO | Overall rmse = 0.572
2025-11-19 09:30:03,945 | film_recommender_cg.scorer | INFO | Overall r-squared = 0.073
2025-11-19 09:30:03,951 | film_recommender_cg.scorer | INFO | ### Following recent batch of simulated interactions, current model performance metrics ('New' users): ###
2025-11-19 09:30:03,960 | film_recommender_cg.scorer | INFO | 'Action' rmse = 0.669
2025-11-19 09:30:03,962 | film_recommender_cg.scorer | INFO | 'Action' r-squared = -0.402
2025-11-19 09:30:03,969 | film_recommender_cg.scorer | INFO | 'Horror' rmse = Insufficient Data
2025-11-19 09:30:03,973 | film_recommender_cg.scorer | INFO | 'Horror' r-squared = Insufficient Data
2025-11-19 09:30:03,981 | film_recommender_cg.scorer | INFO | 'Documentary' rmse = Insufficient Data
2025-11-19 09:30:03,984 | film_recommender_cg.scorer | INFO | 'Documentary' r-squared = Insufficient Data
2025-11-19 09:30:03,999 | film_recommender_cg.scorer | INFO | 'Comedy' rmse = 0.549
2025-11-19 09:30:04,002 | film_recommender_cg.scorer | INFO | 'Comedy' r-squared = 0.03
2025-11-19 09:30:04,009 | film_recommender_cg.scorer | INFO | 'Crime' rmse = 0.492
2025-11-19 09:30:04,013 | film_recommender_cg.scorer | INFO | 'Crime' r-squared = 0.107
2025-11-19 09:30:04,023 | film_recommender_cg.scorer | INFO | 'Science Fiction' rmse = 0.661
2025-11-19 09:30:04,029 | film_recommender_cg.scorer | INFO | 'Science Fiction' r-squared = -0.342
2025-11-19 09:30:04,036 | film_recommender_cg.scorer | INFO | 'History' rmse = 0.525
2025-11-19 09:30:04,041 | film_recommender_cg.scorer | INFO | 'History' r-squared = 0.077
2025-11-19 09:30:04,051 | film_recommender_cg.scorer | INFO | 'Mystery' rmse = 0.569
2025-11-19 09:30:04,055 | film_recommender_cg.scorer | INFO | 'Mystery' r-squared = 0.045
2025-11-19 09:30:04,066 | film_recommender_cg.scorer | INFO | 'Drama' rmse = 0.518
2025-11-19 09:30:04,071 | film_recommender_cg.scorer | INFO | 'Drama' r-squared = 0.104
2025-11-19 09:30:04,076 | film_recommender_cg.scorer | INFO | 'Music' rmse = Insufficient Data
2025-11-19 09:30:04,079 | film_recommender_cg.scorer | INFO | 'Music' r-squared = Insufficient Data
2025-11-19 09:30:04,086 | film_recommender_cg.scorer | INFO | 'Western' rmse = Insufficient Data
2025-11-19 09:30:04,092 | film_recommender_cg.scorer | INFO | 'Western' r-squared = Insufficient Data
2025-11-19 09:30:04,100 | film_recommender_cg.scorer | INFO | 'Animation' rmse = 0.529
2025-11-19 09:30:04,105 | film_recommender_cg.scorer | INFO | 'Animation' r-squared = -0.035
2025-11-19 09:30:04,117 | film_recommender_cg.scorer | INFO | 'TV Movie' rmse = Insufficient Data
2025-11-19 09:30:04,121 | film_recommender_cg.scorer | INFO | 'TV Movie' r-squared = Insufficient Data
2025-11-19 09:30:04,129 | film_recommender_cg.scorer | INFO | 'Foreign' rmse = Insufficient Data
2025-11-19 09:30:04,134 | film_recommender_cg.scorer | INFO | 'Foreign' r-squared = Insufficient Data
2025-11-19 09:30:04,144 | film_recommender_cg.scorer | INFO | 'Romance' rmse = 0.515
2025-11-19 09:30:04,148 | film_recommender_cg.scorer | INFO | 'Romance' r-squared = -0.049
2025-11-19 09:30:04,157 | film_recommender_cg.scorer | INFO | 'Adventure' rmse = 0.639
2025-11-19 09:30:04,163 | film_recommender_cg.scorer | INFO | 'Adventure' r-squared = -0.285
2025-11-19 09:30:04,173 | film_recommender_cg.scorer | INFO | 'War' rmse = 0.527
2025-11-19 09:30:04,177 | film_recommender_cg.scorer | INFO | 'War' r-squared = 0.081
2025-11-19 09:30:04,185 | film_recommender_cg.scorer | INFO | 'Thriller' rmse = 0.571
2025-11-19 09:30:04,188 | film_recommender_cg.scorer | INFO | 'Thriller' r-squared = 0.136
2025-11-19 09:30:04,192 | film_recommender_cg.scorer | INFO | 'Undisclosed' rmse = Insufficient Data
2025-11-19 09:30:04,195 | film_recommender_cg.scorer | INFO | 'Undisclosed' r-squared = Insufficient Data
2025-11-19 09:30:04,202 | film_recommender_cg.scorer | INFO | 'Fantasy' rmse = 0.58
2025-11-19 09:30:04,204 | film_recommender_cg.scorer | INFO | 'Fantasy' r-squared = 0.031
2025-11-19 09:30:04,214 | film_recommender_cg.scorer | INFO | 'Family' rmse = 0.559
2025-11-19 09:30:04,217 | film_recommender_cg.scorer | INFO | 'Family' r-squared = -0.022
2025-11-19 09:30:05,246 | film_recommender_cg.scorer | INFO | 'scoring_performance_metrics_new_users' successfully logged as artifact in W&B.
2025-11-19 09:30:05,249 | film_recommender_cg.scorer | INFO | Evaluation complete!
2025-11-19 09:30:05,253 | film_recommender_cg.scorer | INFO | Evaluating model performance on new (simulated) data...
2025-11-19 09:30:05,260 | film_recommender_cg.scorer | INFO | ### Following recent batch of simulated interactions, current model performance metrics ('Existing' users): ###
2025-11-19 09:30:05,263 | film_recommender_cg.scorer | INFO | Overall rmse = 0.541
2025-11-19 09:30:05,268 | film_recommender_cg.scorer | INFO | Overall r-squared = 0.292
2025-11-19 09:30:05,276 | film_recommender_cg.scorer | INFO | ### Following recent batch of simulated interactions, current model performance metrics ('Existing' users): ###
2025-11-19 09:30:05,297 | film_recommender_cg.scorer | INFO | 'Action' rmse = 0.673
2025-11-19 09:30:05,299 | film_recommender_cg.scorer | INFO | 'Action' r-squared = -0.146
2025-11-19 09:30:05,324 | film_recommender_cg.scorer | INFO | 'Horror' rmse = 0.511
2025-11-19 09:30:05,328 | film_recommender_cg.scorer | INFO | 'Horror' r-squared = 0.322
2025-11-19 09:30:05,343 | film_recommender_cg.scorer | INFO | 'Documentary' rmse = 0.534
2025-11-19 09:30:05,346 | film_recommender_cg.scorer | INFO | 'Documentary' r-squared = 0.294
2025-11-19 09:30:05,360 | film_recommender_cg.scorer | INFO | 'Comedy' rmse = 0.533
2025-11-19 09:30:05,364 | film_recommender_cg.scorer | INFO | 'Comedy' r-squared = 0.3
2025-11-19 09:30:05,380 | film_recommender_cg.scorer | INFO | 'Crime' rmse = 0.573
2025-11-19 09:30:05,384 | film_recommender_cg.scorer | INFO | 'Crime' r-squared = 0.235
2025-11-19 09:30:05,420 | film_recommender_cg.scorer | INFO | 'Science Fiction' rmse = 0.553
2025-11-19 09:30:05,423 | film_recommender_cg.scorer | INFO | 'Science Fiction' r-squared = 0.323
2025-11-19 09:30:05,442 | film_recommender_cg.scorer | INFO | 'History' rmse = 0.548
2025-11-19 09:30:05,444 | film_recommender_cg.scorer | INFO | 'History' r-squared = 0.256
2025-11-19 09:30:05,463 | film_recommender_cg.scorer | INFO | 'Mystery' rmse = 0.517
2025-11-19 09:30:05,466 | film_recommender_cg.scorer | INFO | 'Mystery' r-squared = 0.323
2025-11-19 09:30:05,493 | film_recommender_cg.scorer | INFO | 'Drama' rmse = 0.542
2025-11-19 09:30:05,497 | film_recommender_cg.scorer | INFO | 'Drama' r-squared = 0.289
2025-11-19 09:30:05,518 | film_recommender_cg.scorer | INFO | 'Music' rmse = 0.526
2025-11-19 09:30:05,521 | film_recommender_cg.scorer | INFO | 'Music' r-squared = 0.302
2025-11-19 09:30:05,536 | film_recommender_cg.scorer | INFO | 'Western' rmse = 0.549
2025-11-19 09:30:05,538 | film_recommender_cg.scorer | INFO | 'Western' r-squared = 0.297
2025-11-19 09:30:05,553 | film_recommender_cg.scorer | INFO | 'Animation' rmse = 0.524
2025-11-19 09:30:05,556 | film_recommender_cg.scorer | INFO | 'Animation' r-squared = 0.276
2025-11-19 09:30:05,574 | film_recommender_cg.scorer | INFO | 'TV Movie' rmse = Insufficient Data
2025-11-19 09:30:05,577 | film_recommender_cg.scorer | INFO | 'TV Movie' r-squared = Insufficient Data
2025-11-19 09:30:05,592 | film_recommender_cg.scorer | INFO | 'Foreign' rmse = 0.508
2025-11-19 09:30:05,595 | film_recommender_cg.scorer | INFO | 'Foreign' r-squared = 0.265
2025-11-19 09:30:05,606 | film_recommender_cg.scorer | INFO | 'Romance' rmse = 0.522
2025-11-19 09:30:05,610 | film_recommender_cg.scorer | INFO | 'Romance' r-squared = 0.316
2025-11-19 09:30:05,633 | film_recommender_cg.scorer | INFO | 'Adventure' rmse = 0.607
2025-11-19 09:30:05,637 | film_recommender_cg.scorer | INFO | 'Adventure' r-squared = 0.151
2025-11-19 09:30:05,649 | film_recommender_cg.scorer | INFO | 'War' rmse = 0.545
2025-11-19 09:30:05,652 | film_recommender_cg.scorer | INFO | 'War' r-squared = 0.273
2025-11-19 09:30:05,669 | film_recommender_cg.scorer | INFO | 'Thriller' rmse = 0.569
2025-11-19 09:30:05,672 | film_recommender_cg.scorer | INFO | 'Thriller' r-squared = 0.252
2025-11-19 09:30:05,681 | film_recommender_cg.scorer | INFO | 'Undisclosed' rmse = Insufficient Data
2025-11-19 09:30:05,684 | film_recommender_cg.scorer | INFO | 'Undisclosed' r-squared = Insufficient Data
2025-11-19 09:30:05,697 | film_recommender_cg.scorer | INFO | 'Fantasy' rmse = 0.528
2025-11-19 09:30:05,699 | film_recommender_cg.scorer | INFO | 'Fantasy' r-squared = 0.328
2025-11-19 09:30:05,716 | film_recommender_cg.scorer | INFO | 'Family' rmse = 0.536
2025-11-19 09:30:05,719 | film_recommender_cg.scorer | INFO | 'Family' r-squared = 0.294
2025-11-19 09:30:06,807 | film_recommender_cg.scorer | INFO | 'scoring_performance_metrics_existing_users' successfully logged as artifact in W&B.
2025-11-19 09:30:06,809 | film_recommender_cg.scorer | INFO | Evaluation complete!
